audit_id,run_id,task_id,criterion_id,condition,automated_label,coder_a,coder_b
AA-0045,run-063,T03,T03-R03,world_first,accessed,accessed,accessed
AA-0046,run-115,T05,T05-R03,world_first,accessed,accessed,accessed
AA-0047,run-059,T03,T03-R08,task_first,not_accessed,not_accessed,not_accessed
AA-0048,run-066,T03,T03-R02,world_first,accessed,accessed,accessed
AA-0049,run-070,T03,T03-R07,world_first,accessed,not_accessed,accessed
AA-0050,run-189,T07,T07-R02,world_first,accessed,not_accessed,accessed
AA-0051,run-173,T07,T07-R05,task_first,accessed,accessed,accessed
AA-0052,run-003,T01,T01-R02,world_first,not_accessed,not_accessed,not_accessed
AA-0053,run-056,T03,T03-R03,task_first,accessed,accessed,accessed
AA-0054,run-143,T06,T06-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0055,run-011,T01,T01-R04,task_first,accessed,accessed,accessed
AA-0056,run-062,T03,T03-R01,world_first,accessed,accessed,accessed
AA-0057,run-066,T03,T03-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0058,run-118,T05,T05-R02,task_first,accessed,accessed,accessed
AA-0059,run-016,T01,T01-R07,task_first,accessed,accessed,accessed
AA-0060,run-053,T03,T03-R05,world_first,accessed,accessed,accessed
AA-0061,run-098,T05,T05-R08,task_first,accessed,not_accessed,accessed
AA-0062,run-105,T05,T05-R06,task_first,accessed,accessed,accessed
AA-0063,run-147,T08,T08-R01,task_first,accessed,accessed,accessed
AA-0064,run-138,T06,T06-R01,world_first,unknown,unknown,unknown
AA-0065,run-113,T05,T05-R03,world_first,accessed,accessed,accessed
AA-0066,run-097,T05,T05-R05,world_first,accessed,accessed,accessed
AA-0067,run-097,T05,T05-R09,world_first,accessed,accessed,accessed
AA-0068,run-137,T06,T06-R04,task_first,accessed,accessed,accessed
AA-0069,run-100,T05,T05-R03,task_first,accessed,accessed,accessed
AA-0070,run-033,T02,T02-R04,world_first,accessed,unknown,accessed
AA-0071,run-078,T04,T04-R12,task_first,accessed,accessed,accessed
AA-0072,run-003,T01,T01-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0073,run-061,T03,T03-R02,task_first,accessed,accessed,not_accessed
AA-0074,run-163,T08,T08-R02,world_first,accessed,accessed,accessed
AA-0075,run-105,T05,T05-R02,task_first,accessed,accessed,accessed
AA-0076,run-028,T02,T02-R02,task_first,accessed,not_accessed,accessed
AA-0077,run-021,T01,T01-R01,world_first,accessed,accessed,accessed
AA-0078,run-101,T05,T05-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0079,run-088,T04,T04-R08,task_first,accessed,accessed,accessed
AA-0080,run-027,T02,T02-R02,world_first,accessed,accessed,accessed
AA-0081,run-023,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0082,run-041,T02,T02-R04,task_first,accessed,accessed,accessed
AA-0083,run-076,T04,T04-R02,task_first,accessed,accessed,accessed
AA-0084,run-014,T01,T01-R03,task_first,not_accessed,not_accessed,not_accessed
AA-0085,run-078,T04,T04-R07,task_first,accessed,accessed,accessed
AA-0086,run-061,T03,T03-R01,task_first,accessed,accessed,accessed
AA-0087,run-126,T06,T06-R04,world_first,accessed,accessed,accessed
AA-0088,run-054,T03,T03-R07,world_first,accessed,accessed,accessed
AA-0089,run-009,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0090,run-084,T04,T04-R02,task_first,accessed,accessed,accessed
AA-0091,run-026,T02,T02-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0092,run-192,T07,T07-R01,task_first,accessed,accessed,accessed
AA-0093,run-182,T07,T07-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0094,run-086,T04,T04-R06,world_first,accessed,accessed,accessed
AA-0095,run-043,T02,T02-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0096,run-112,T05,T05-R03,task_first,accessed,accessed,accessed
AA-0097,run-046,T02,T02-R09,world_first,accessed,accessed,accessed
AA-0098,run-098,T05,T05-R11,task_first,accessed,accessed,accessed
AA-0099,run-018,T01,T01-R04,world_first,accessed,accessed,accessed
AA-0100,run-048,T02,T02-R08,task_first,accessed,accessed,accessed
AA-0101,run-115,T05,T05-R07,world_first,not_accessed,not_accessed,unknown
AA-0102,run-133,T06,T06-R02,task_first,not_accessed,not_accessed,not_accessed
AA-0103,run-081,T04,T04-R01,world_first,accessed,accessed,accessed
AA-0104,run-007,T01,T01-R04,world_first,accessed,accessed,accessed
AA-0105,run-057,T03,T03-R09,task_first,accessed,accessed,not_accessed
AA-0106,run-049,T03,T03-R05,task_first,accessed,accessed,accessed
AA-0107,run-131,T06,T06-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0108,run-046,T02,T02-R01,world_first,accessed,accessed,accessed
AA-0109,run-018,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0110,run-123,T06,T06-R06,task_first,accessed,accessed,accessed
AA-0111,run-009,T01,T01-R05,world_first,accessed,accessed,accessed
AA-0112,run-040,T02,T02-R07,task_first,accessed,accessed,accessed
AA-0113,run-150,T08,T08-R04,task_first,accessed,accessed,accessed
AA-0114,run-022,T01,T01-R04,task_first,not_accessed,not_accessed,unknown
AA-0115,run-142,T06,T06-R01,task_first,accessed,accessed,accessed
AA-0116,run-131,T06,T06-R02,world_first,not_accessed,not_accessed,not_accessed
AA-0117,run-166,T08,T08-R02,task_first,accessed,accessed,unknown
AA-0118,run-190,T07,T07-R02,task_first,accessed,accessed,accessed
AA-0119,run-021,T01,T01-R07,world_first,not_accessed,not_accessed,not_accessed
AA-0120,run-138,T06,T06-R03,world_first,accessed,accessed,accessed
AA-0121,run-063,T03,T03-R05,world_first,accessed,accessed,accessed
AA-0122,run-020,T01,T01-R10,world_first,not_accessed,not_accessed,not_accessed
AA-0123,run-179,T07,T07-R03,task_first,accessed,accessed,accessed
AA-0124,run-083,T04,T04-R05,world_first,accessed,accessed,not_accessed
AA-0125,run-141,T06,T06-R02,task_first,accessed,accessed,accessed
AA-0126,run-104,T05,T05-R09,task_first,accessed,accessed,accessed
AA-0127,run-125,T06,T06-R03,task_first,accessed,accessed,accessed
AA-0128,run-088,T04,T04-R04,task_first,accessed,accessed,unknown
AA-0129,run-007,T01,T01-R03,world_first,accessed,accessed,accessed
AA-0130,run-156,T08,T08-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0131,run-021,T01,T01-R08,world_first,accessed,accessed,accessed
AA-0132,run-054,T03,T03-R03,world_first,accessed,accessed,accessed
AA-0133,run-084,T04,T04-R07,task_first,accessed,accessed,accessed
AA-0134,run-090,T04,T04-R14,task_first,accessed,unknown,accessed
AA-0135,run-002,T01,T01-R05,task_first,accessed,accessed,accessed
AA-0136,run-139,T06,T06-R05,task_first,accessed,accessed,accessed
AA-0137,run-144,T06,T06-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0138,run-120,T05,T05-R06,world_first,accessed,accessed,accessed
AA-0139,run-042,T02,T02-R03,world_first,accessed,accessed,accessed
AA-0140,run-032,T02,T02-R07,world_first,not_accessed,not_accessed,not_accessed
AA-0141,run-169,T07,T07-R03,task_first,unknown,unknown,unknown
AA-0142,run-093,T04,T04-R13,task_first,accessed,accessed,accessed
AA-0143,run-127,T06,T06-R05,world_first,accessed,accessed,accessed
AA-0144,run-096,T04,T04-R11,task_first,accessed,accessed,accessed
AA-0145,run-102,T05,T05-R08,task_first,accessed,accessed,accessed
AA-0146,run-165,T08,T08-R02,world_first,not_accessed,not_accessed,not_accessed
AA-0147,run-054,T03,T03-R08,world_first,accessed,accessed,accessed
AA-0148,run-192,T07,T07-R02,task_first,accessed,accessed,accessed
AA-0149,run-077,T04,T04-R02,world_first,accessed,accessed,accessed
AA-0150,run-085,T04,T04-R13,world_first,not_accessed,not_accessed,unknown
AA-0151,run-131,T06,T06-R06,world_first,accessed,accessed,accessed
AA-0152,run-093,T04,T04-R07,task_first,accessed,accessed,accessed
AA-0153,run-071,T03,T03-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0154,run-095,T04,T04-R02,world_first,accessed,accessed,accessed
AA-0155,run-091,T04,T04-R11,task_first,accessed,accessed,accessed
AA-0156,run-069,T03,T03-R08,task_first,accessed,accessed,accessed
AA-0157,run-164,T08,T08-R04,world_first,accessed,accessed,accessed
AA-0158,run-163,T08,T08-R05,world_first,accessed,unknown,unknown
AA-0159,run-062,T03,T03-R03,world_first,accessed,accessed,accessed
AA-0160,run-121,T06,T06-R05,world_first,not_accessed,not_accessed,not_accessed
AA-0161,run-144,T06,T06-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0162,run-146,T08,T08-R01,world_first,accessed,accessed,accessed
AA-0163,run-019,T01,T01-R03,task_first,accessed,accessed,accessed
AA-0164,run-075,T04,T04-R05,world_first,accessed,accessed,accessed
AA-0165,run-116,T05,T05-R11,task_first,accessed,accessed,accessed
AA-0166,run-111,T05,T05-R09,world_first,accessed,accessed,accessed
AA-0167,run-180,T07,T07-R03,world_first,accessed,accessed,accessed
AA-0168,run-171,T07,T07-R04,task_first,accessed,accessed,accessed
AA-0169,run-183,T07,T07-R03,task_first,accessed,not_accessed,accessed
AA-0170,run-057,T03,T03-R06,task_first,accessed,accessed,accessed
AA-0171,run-183,T07,T07-R01,task_first,accessed,accessed,accessed
AA-0172,run-015,T01,T01-R09,world_first,accessed,accessed,accessed
AA-0173,run-087,T04,T04-R13,task_first,accessed,accessed,accessed
AA-0174,run-086,T04,T04-R09,world_first,accessed,accessed,accessed
AA-0175,run-086,T04,T04-R10,world_first,accessed,accessed,accessed
AA-0176,run-023,T01,T01-R08,world_first,accessed,accessed,accessed
AA-0177,run-022,T01,T01-R09,task_first,accessed,accessed,accessed
AA-0178,run-025,T02,T02-R09,task_first,accessed,accessed,accessed
AA-0179,run-116,T05,T05-R09,task_first,accessed,accessed,accessed
AA-0180,run-109,T05,T05-R01,world_first,accessed,accessed,accessed
AA-0181,run-077,T04,T04-R09,world_first,accessed,accessed,accessed
AA-0182,run-021,T01,T01-R05,world_first,unknown,unknown,unknown
AA-0183,run-053,T03,T03-R08,world_first,accessed,accessed,accessed
AA-0184,run-089,T04,T04-R12,world_first,not_accessed,not_accessed,not_accessed
AA-0185,run-057,T03,T03-R05,task_first,accessed,accessed,accessed
AA-0186,run-147,T08,T08-R05,task_first,accessed,accessed,accessed
AA-0187,run-078,T04,T04-R14,task_first,accessed,accessed,accessed
AA-0188,run-095,T04,T04-R13,world_first,unknown,unknown,unknown
AA-0189,run-103,T05,T05-R01,world_first,accessed,accessed,accessed
AA-0190,run-120,T05,T05-R07,world_first,accessed,accessed,accessed
AA-0191,run-082,T04,T04-R12,task_first,accessed,accessed,accessed
AA-0192,run-032,T02,T02-R01,world_first,accessed,accessed,accessed
AA-0193,run-152,T08,T08-R03,task_first,accessed,accessed,accessed
AA-0194,run-140,T06,T06-R03,world_first,accessed,accessed,accessed
AA-0195,run-149,T08,T08-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0196,run-090,T04,T04-R04,task_first,accessed,accessed,not_accessed
AA-0197,run-181,T07,T07-R05,world_first,accessed,accessed,accessed
AA-0198,run-086,T04,T04-R07,world_first,accessed,accessed,unknown
AA-0199,run-068,T03,T03-R01,task_first,not_accessed,not_accessed,not_accessed
AA-0200,run-034,T02,T02-R03,task_first,accessed,accessed,accessed
AA-0201,run-141,T06,T06-R07,task_first,accessed,accessed,accessed
AA-0202,run-063,T03,T03-R07,world_first,not_accessed,unknown,unknown
AA-0203,run-018,T01,T01-R09,world_first,not_accessed,not_accessed,not_accessed
AA-0204,run-025,T02,T02-R06,task_first,accessed,accessed,accessed
AA-0205,run-102,T05,T05-R11,task_first,accessed,accessed,accessed
AA-0206,run-014,T01,T01-R09,task_first,accessed,accessed,accessed
AA-0207,run-022,T01,T01-R08,task_first,accessed,accessed,accessed
AA-0208,run-058,T03,T03-R09,world_first,accessed,accessed,accessed
AA-0209,run-151,T08,T08-R03,world_first,accessed,accessed,accessed
AA-0210,run-032,T02,T02-R03,world_first,accessed,accessed,accessed
AA-0211,run-103,T05,T05-R05,world_first,accessed,accessed,accessed
AA-0212,run-140,T06,T06-R05,world_first,not_accessed,not_accessed,accessed
AA-0213,run-030,T02,T02-R08,task_first,accessed,accessed,accessed
AA-0214,run-113,T05,T05-R09,world_first,accessed,accessed,accessed
AA-0215,run-061,T03,T03-R07,task_first,not_accessed,not_accessed,not_accessed
AA-0216,run-080,T04,T04-R01,world_first,accessed,accessed,accessed
AA-0217,run-134,T06,T06-R03,task_first,accessed,accessed,accessed
AA-0218,run-176,T07,T07-R05,task_first,accessed,accessed,accessed
AA-0219,run-114,T05,T05-R11,task_first,accessed,accessed,accessed
AA-0220,run-088,T04,T04-R07,task_first,accessed,accessed,accessed
AA-0221,run-037,T02,T02-R07,world_first,not_accessed,not_accessed,not_accessed
AA-0222,run-171,T07,T07-R01,task_first,accessed,unknown,accessed
AA-0223,run-077,T04,T04-R06,world_first,accessed,accessed,accessed
AA-0224,run-081,T04,T04-R04,world_first,accessed,accessed,accessed
AA-0225,run-064,T03,T03-R03,task_first,not_accessed,not_accessed,not_accessed
AA-0226,run-188,T07,T07-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0227,run-077,T04,T04-R13,world_first,accessed,accessed,accessed
AA-0228,run-021,T01,T01-R06,world_first,accessed,accessed,accessed
AA-0229,run-145,T08,T08-R03,world_first,accessed,accessed,accessed
AA-0230,run-068,T03,T03-R04,task_first,not_accessed,not_accessed,not_accessed
AA-0231,run-002,T01,T01-R03,task_first,accessed,accessed,accessed
AA-0232,run-015,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0233,run-104,T05,T05-R08,task_first,accessed,accessed,accessed
AA-0234,run-073,T04,T04-R10,task_first,accessed,accessed,accessed
AA-0235,run-004,T01,T01-R07,task_first,accessed,accessed,accessed
AA-0236,run-033,T02,T02-R11,world_first,accessed,accessed,accessed
AA-0237,run-166,T08,T08-R05,task_first,accessed,accessed,accessed
AA-0238,run-124,T06,T06-R03,task_first,accessed,accessed,accessed
AA-0239,run-092,T04,T04-R07,world_first,accessed,accessed,accessed
AA-0240,run-154,T08,T08-R04,task_first,accessed,accessed,accessed
AA-0241,run-115,T05,T05-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0242,run-058,T03,T03-R08,world_first,accessed,not_accessed,accessed
AA-0243,run-087,T04,T04-R08,task_first,accessed,accessed,accessed
AA-0244,run-074,T04,T04-R13,world_first,accessed,accessed,accessed
AA-0245,run-029,T02,T02-R06,world_first,accessed,accessed,accessed
AA-0246,run-046,T02,T02-R11,world_first,accessed,accessed,accessed
AA-0247,run-129,T06,T06-R06,world_first,not_accessed,not_accessed,not_accessed
AA-0248,run-171,T07,T07-R05,task_first,accessed,accessed,accessed
AA-0249,run-025,T02,T02-R04,task_first,accessed,accessed,accessed
AA-0250,run-078,T04,T04-R09,task_first,accessed,accessed,accessed
AA-0251,run-109,T05,T05-R06,world_first,accessed,accessed,accessed
AA-0252,run-059,T03,T03-R02,task_first,not_accessed,not_accessed,not_accessed
AA-0253,run-001,T01,T01-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0254,run-063,T03,T03-R09,world_first,accessed,accessed,not_accessed
AA-0255,run-009,T01,T01-R09,world_first,not_accessed,not_accessed,not_accessed
AA-0256,run-084,T04,T04-R10,task_first,accessed,accessed,accessed
AA-0257,run-076,T04,T04-R03,task_first,accessed,accessed,accessed
AA-0258,run-106,T05,T05-R09,world_first,accessed,not_accessed,accessed
AA-0259,run-159,T08,T08-R02,task_first,not_accessed,not_accessed,not_accessed
AA-0260,run-160,T08,T08-R05,world_first,not_accessed,not_accessed,not_accessed
AA-0261,run-132,T06,T06-R02,task_first,accessed,accessed,accessed
AA-0262,run-136,T06,T06-R06,world_first,not_accessed,not_accessed,not_accessed
AA-0263,run-013,T01,T01-R01,world_first,accessed,accessed,accessed
AA-0264,run-084,T04,T04-R03,task_first,accessed,accessed,accessed
AA-0265,run-145,T08,T08-R04,world_first,accessed,accessed,accessed
AA-0266,run-074,T04,T04-R03,world_first,accessed,accessed,accessed
AA-0267,run-125,T06,T06-R07,task_first,accessed,accessed,accessed
AA-0268,run-013,T01,T01-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0269,run-128,T06,T06-R05,task_first,accessed,accessed,accessed
AA-0270,run-012,T01,T01-R09,task_first,accessed,not_accessed,accessed
AA-0271,run-015,T01,T01-R05,world_first,accessed,unknown,accessed
AA-0272,run-175,T07,T07-R01,world_first,accessed,accessed,accessed
AA-0273,run-022,T01,T01-R10,task_first,accessed,accessed,accessed
AA-0274,run-141,T06,T06-R04,task_first,accessed,accessed,accessed
AA-0275,run-060,T03,T03-R07,world_first,accessed,accessed,accessed
AA-0276,run-012,T01,T01-R07,task_first,not_accessed,not_accessed,not_accessed
AA-0277,run-007,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0278,run-031,T02,T02-R09,task_first,accessed,accessed,accessed
AA-0279,run-045,T02,T02-R11,world_first,accessed,accessed,accessed
AA-0280,run-152,T08,T08-R02,task_first,not_accessed,not_accessed,not_accessed
AA-0281,run-077,T04,T04-R05,world_first,accessed,accessed,accessed
AA-0282,run-037,T02,T02-R11,world_first,accessed,accessed,accessed
AA-0283,run-078,T04,T04-R04,task_first,accessed,accessed,accessed
AA-0284,run-171,T07,T07-R02,task_first,accessed,not_accessed,accessed
AA-0285,run-176,T07,T07-R01,task_first,accessed,accessed,unknown
AA-0286,run-097,T05,T05-R02,world_first,accessed,accessed,accessed
AA-0287,run-007,T01,T01-R01,world_first,accessed,accessed,accessed
AA-0288,run-028,T02,T02-R01,task_first,not_accessed,not_accessed,not_accessed
AA-0289,run-114,T05,T05-R07,task_first,accessed,accessed,accessed
AA-0290,run-124,T06,T06-R08,task_first,accessed,accessed,accessed
AA-0291,run-040,T02,T02-R05,task_first,accessed,accessed,accessed
AA-0292,run-177,T07,T07-R01,task_first,accessed,accessed,accessed
AA-0293,run-056,T03,T03-R02,task_first,accessed,accessed,accessed
AA-0294,run-044,T02,T02-R04,task_first,accessed,not_accessed,accessed
AA-0295,run-147,T08,T08-R03,task_first,accessed,unknown,accessed
AA-0296,run-054,T03,T03-R04,world_first,accessed,accessed,accessed
AA-0297,run-165,T08,T08-R04,world_first,accessed,accessed,accessed
AA-0298,run-045,T02,T02-R09,world_first,accessed,accessed,not_accessed
AA-0299,run-174,T07,T07-R05,world_first,accessed,accessed,accessed
AA-0300,run-094,T04,T04-R06,world_first,accessed,accessed,accessed
AA-0301,run-044,T02,T02-R07,task_first,accessed,accessed,accessed
AA-0302,run-070,T03,T03-R08,world_first,not_accessed,not_accessed,not_accessed
AA-0303,run-019,T01,T01-R09,task_first,accessed,accessed,accessed
AA-0304,run-122,T06,T06-R01,world_first,accessed,accessed,accessed
AA-0305,run-141,T06,T06-R08,task_first,accessed,accessed,accessed
AA-0306,run-019,T01,T01-R05,task_first,accessed,accessed,accessed
AA-0307,run-153,T08,T08-R04,world_first,accessed,accessed,accessed
AA-0308,run-052,T03,T03-R03,task_first,accessed,accessed,not_accessed
AA-0309,run-026,T02,T02-R07,world_first,accessed,accessed,accessed
AA-0310,run-114,T05,T05-R01,task_first,accessed,accessed,accessed
AA-0311,run-073,T04,T04-R04,task_first,accessed,accessed,accessed
AA-0312,run-106,T05,T05-R02,world_first,not_accessed,not_accessed,accessed
AA-0313,run-134,T06,T06-R01,task_first,accessed,accessed,accessed
AA-0314,run-112,T05,T05-R08,task_first,accessed,accessed,accessed
AA-0315,run-072,T03,T03-R03,task_first,accessed,accessed,accessed
AA-0316,run-137,T06,T06-R07,task_first,accessed,accessed,accessed
AA-0317,run-079,T04,T04-R14,task_first,accessed,accessed,accessed
AA-0318,run-124,T06,T06-R05,task_first,accessed,accessed,accessed
AA-0319,run-189,T07,T07-R04,world_first,accessed,accessed,accessed
AA-0320,run-078,T04,T04-R01,task_first,accessed,accessed,accessed
AA-0321,run-085,T04,T04-R03,world_first,not_accessed,not_accessed,not_accessed
AA-0322,run-009,T01,T01-R06,world_first,unknown,unknown,unknown
AA-0323,run-113,T05,T05-R02,world_first,accessed,accessed,accessed
AA-0324,run-093,T04,T04-R08,task_first,accessed,accessed,accessed
AA-0325,run-170,T07,T07-R03,world_first,accessed,accessed,accessed
AA-0326,run-160,T08,T08-R04,world_first,accessed,accessed,accessed
AA-0327,run-021,T01,T01-R09,world_first,accessed,accessed,accessed
AA-0328,run-083,T04,T04-R01,world_first,not_accessed,not_accessed,not_accessed
AA-0329,run-035,T02,T02-R10,task_first,accessed,accessed,accessed
AA-0330,run-089,T04,T04-R11,world_first,not_accessed,not_accessed,unknown
AA-0331,run-150,T08,T08-R01,task_first,not_accessed,not_accessed,not_accessed
AA-0332,run-055,T03,T03-R05,task_first,accessed,accessed,accessed
AA-0333,run-123,T06,T06-R07,task_first,accessed,accessed,accessed
AA-0334,run-039,T02,T02-R04,world_first,accessed,accessed,accessed
AA-0335,run-094,T04,T04-R03,world_first,accessed,accessed,accessed
AA-0336,run-108,T05,T05-R03,world_first,accessed,accessed,accessed
AA-0337,run-001,T01,T01-R11,world_first,accessed,accessed,accessed
AA-0338,run-118,T05,T05-R08,task_first,accessed,accessed,accessed
AA-0339,run-038,T02,T02-R01,task_first,accessed,accessed,accessed
AA-0340,run-116,T05,T05-R01,task_first,accessed,accessed,accessed
AA-0341,run-011,T01,T01-R07,task_first,accessed,accessed,accessed
AA-0342,run-116,T05,T05-R02,task_first,unknown,unknown,unknown
AA-0343,run-168,T08,T08-R02,task_first,accessed,accessed,accessed
AA-0344,run-034,T02,T02-R10,task_first,accessed,accessed,not_accessed
AA-0345,run-095,T04,T04-R03,world_first,accessed,accessed,accessed
AA-0346,run-036,T02,T02-R05,world_first,accessed,accessed,accessed
