run_id,task_id,agent_id,condition,environment_instance,block,scheduled_order_within_task_agent,status,criterion_count,accessed_count,not_accessed_count,unknown_count,pass_count,model_version_string,files_inspected,tool_calls,tool_calls_before_first_access,run_record_sha256
run-119,T05,sol,task_first,task-first curator 1,2,7,completed,9,9,0,0,4,gpt-5.6-sol,15,16,6,f9e152f6a1d498033a12d1b8ca658d573bf2f39014e4f612521db9f000d4549d
run-120,T05,sol,world_first,world-first,2,8,completed,9,6,3,0,5,gpt-5.6-sol,22,32,13,2c3296e789b87a9e177feec0d60afa142981df80d1b1784fedfa74d7803e9880
run-121,T06,opus5,world_first,world-first,1,1,completed,8,6,2,0,6,claude-opus-5,24,30,9,2adfc5065ff9ed096d4b2a9b9a73299df5293b55a6b11d1780003b7a4403bc27
run-122,T06,opus5,world_first,world-first,1,2,completed,8,5,3,0,6,claude-opus-5,17,26,14,d239fe0297709605fa464b23e0836a799ac1fda3f3708f658f0860959b3aec22
run-123,T06,opus5,task_first,task-first curator 2,1,3,completed,8,8,0,0,8,claude-opus-5,10,19,11,ff0496686abb01575124f3d68580a74ed7b9884652605c58df70614b17959821
run-124,T06,opus5,task_first,task-first curator 1,1,4,completed,8,8,0,0,8,claude-opus-5,12,35,12,2cd411b85df7108e70ca7ae1b49363c7a7880d8178db80ec134adfa51499c77a
run-125,T06,opus5,task_first,task-first curator 1,2,5,completed,8,7,1,0,7,claude-opus-5,13,31,4,8a9e39b91538648ee811334c86acfad9ebf7909a5a1af9b4daaf3dd97ed76e2a
run-126,T06,opus5,world_first,world-first,2,6,completed,8,5,3,0,5,claude-opus-5,32,46,19,96dd3db7385e7e1ffe8d1a91dbfed50b0fc8300e69c3dd22aa8eae1f877f8663
run-127,T06,opus5,world_first,world-first,2,7,completed,8,5,3,0,7,claude-opus-5,17,24,13,fd1100b73c9f1aa3c54220b21018c2a12ea9eb9a5503d91404d1658b75183c87
run-128,T06,opus5,task_first,task-first curator 2,2,8,completed,8,8,0,0,8,claude-opus-5,9,22,16,2421759e1980479f41ba29b8a370b47a9af05a5d4e0ac554ae38058949e63ab0
run-129,T06,grok,world_first,world-first,1,1,completed,8,3,5,0,3,grok-4.6,28,30,8,a75999d13ad5db58c9d607cc21fd2d7f9075d256a3f323db70da32462ed029f7
run-130,T06,grok,task_first,task-first curator 1,1,2,completed,8,8,0,0,7,grok-4.6,17,46,10,5f630828e412c102bda31a106e217f06ae39d6827face48446d9d30d9df20cf3
run-131,T06,grok,world_first,world-first,1,3,completed,8,5,3,0,5,grok-4.6,26,33,14,66ddb0463cbc334e68189c741ae21a5336601897beb332e6b00419ff8cc3a9cb
run-132,T06,grok,task_first,task-first curator 2,1,4,completed,8,6,2,0,6,grok-4.6,15,40,10,4b89a157aa040c18374dcfbab18a203ef005fe1eb8f1d990db905a935b7d9b95
run-133,T06,grok,task_first,task-first curator 1,2,5,completed,8,6,2,0,6,grok-4.6,10,23,11,88c2064d33c3e381edfbb047081dd5d01958db19767e7a84bb02f18bc8a10983
run-134,T06,grok,task_first,task-first curator 2,2,6,completed,8,8,0,0,6,grok-4.6,15,30,5,67e7e089f90942f53aa4e6e2f69a7e59c5c82b293510cd7fa4d81c729b7750d1
run-135,T06,grok,world_first,world-first,2,7,completed,8,3,5,0,4,grok-4.6,26,33,16,99b8d4115f5c1ca1e41b57d2a2cdcf792dfa2e41c0e8652c66543a874a63a0fb
run-136,T06,grok,world_first,world-first,2,8,completed,8,5,3,0,4,grok-4.6,16,24,9,fce602391e64b55870c15c33586ef11c4792d10c2fc63efb4a0ae45482a83630
run-137,T06,sol,task_first,task-first curator 2,1,1,completed,8,8,0,0,7,gpt-5.6-sol,13,30,5,cef04e5094147c09d29ef1765e56a9ddcf2a2d2132c824ddab90685e3900a4a1
run-138,T06,sol,world_first,world-first,1,2,completed,8,4,3,1,5,gpt-5.6-sol,19,26,11,02ed95241e11327115a80ced3babfcab05f88d2561c38cddc1056d4ed14c66c7
run-139,T06,sol,task_first,task-first curator 1,1,3,completed,8,6,2,0,7,gpt-5.6-sol,14,32,6,dd6fed9ea7c8184a4cc8e026a3e8aa318b990c284c5869e3c39e86db0f245ead
run-140,T06,sol,world_first,world-first,1,4,completed,8,5,3,0,4,gpt-5.6-sol,28,35,9,7caaafaf52e0cbd4979f5507b236ec54cac3ead517e444ef2b6b1a9e38445dbd
run-141,T06,sol,task_first,task-first curator 1,2,5,completed,8,7,0,1,5,gpt-5.6-sol,26,59,17,7dffb5a6d857b2c40f13ed46556c0dc36600c31b027a6cba47871d0ba1621a99
run-142,T06,sol,task_first,task-first curator 2,2,6,completed,8,8,0,0,8,gpt-5.6-sol,10,22,13,8f7d03b7e3099478d3b642a325b14623cc0568417b84d2e7b831eea4e7137a85
run-143,T06,sol,world_first,world-first,2,7,completed,8,5,3,0,5,gpt-5.6-sol,65,81,20,bc20af0b0b652053ea8ce3271e8f28e77c8aa38181b63eee724d771ab38d460e
run-144,T06,sol,world_first,world-first,2,8,completed,8,3,4,1,3,gpt-5.6-sol,18,16,10,3f8c5c48d56f4aa6b6dc0fdd73b86eadeeb350f3255520d47226ac024bcbdac4
run-145,T08,opus5,world_first,world-first,1,1,completed,5,5,0,0,4,claude-opus-5,11,22,12,cfda10835a5fce64f3b33ccadb2a311a8a331b97ab9909e3052bb4f2d232144d
