criterion_id,task_id,reviewer,solvable,locators,submitted_at,sheet_version
T02-R09,T02,reviewer_2,True,filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qms/change/cr-overwrap-014.pdf|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T02-R10,T02,reviewer_2,True,filesystem:email/msat/supplier-quote-thread.eml|filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:msat/packaging/seal-strength-raw.csv|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/deviations/overwrap-ccit-note.docx|filesystem:reg/packaging/spec-redline-v3.docx,2026-08-26T11:29:13Z,v1
T02-R11,T02,reviewer_2,True,filesystem:msat/packaging/line-clearance-photo.jpg|filesystem:qa/packaging/complaint-trend.xlsx|filesystem:qms/deviations/overwrap-ccit-note.docx,2026-08-26T11:29:13Z,v1
T03-R01,T03,reviewer_2,True,filesystem:mfg/sterile/media-fill-annex.pdf|filesystem:qa/validation/protocol-comment-log.xlsx|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R02,T03,reviewer_2,True,filesystem:email/qa/pai-prep-agenda.eml|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R03,T03,reviewer_2,True,filesystem:email/qa/pai-prep-agenda.eml|filesystem:mfg/sterile/filter-train-diagram.pdf|filesystem:msat/validation/filter-pv-report.pdf|filesystem:qms/capa/capa-filter-integrity.pdf,2026-08-26T11:29:13Z,v1
T03-R04,T03,reviewer_2,True,filesystem:email/qa/pai-prep-agenda.eml|filesystem:msat/validation/filter-pv-report.pdf|filesystem:qa/validation/protocol-comment-log.xlsx|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R05,T03,reviewer_2,True,filesystem:msat/validation/filter-pv-report.pdf|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R06,T03,reviewer_2,True,filesystem:msat/validation/filter-pv-report.pdf|filesystem:qa/validation/protocol-comment-log.xlsx|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R07,T03,reviewer_2,True,filesystem:qms/capa/capa-filter-integrity.pdf,2026-08-26T11:29:13Z,v1
T03-R08,T03,reviewer_2,False,filesystem:mfg/sterile/media-fill-annex.pdf|filesystem:msat/validation/filter-pv-report.pdf|filesystem:qms/capa/capa-filter-integrity.pdf|filesystem:qms/capa/validation-defense-bridge.docx,2026-08-26T11:29:13Z,v1
T03-R09,T03,reviewer_2,True,filesystem:qms/capa/capa-filter-integrity.pdf,2026-08-26T11:29:13Z,v1
T04-R01,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:lab/stability/annex-crosswalk.xlsx|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/prior-response-2019.pdf|filesystem:reg/ir/response-template-v2.docx,2026-08-26T11:29:13Z,v1
T04-R02,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:email/ra/agency-clock-reminder.eml|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/response-template-v2.docx,2026-08-26T11:29:13Z,v1
T04-R03,T04,reviewer_2,True,filesystem:email/ra/agency-clock-reminder.eml|filesystem:qms/change/cr-spec-tightening.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/q13-prior-art-note.docx,2026-08-26T11:29:13Z,v1
T04-R04,T04,reviewer_2,True,filesystem:desk/RA/authority-q-tracker.xlsx|filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:lab/stability/annex-crosswalk.xlsx|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R05,T04,reviewer_2,True,filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/response-template-v2.docx,2026-08-26T11:29:13Z,v1
T04-R06,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:email/ra/agency-clock-reminder.eml|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R07,T04,reviewer_2,True,filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R08,T04,reviewer_2,True,filesystem:email/ra/agency-clock-reminder.eml|filesystem:qms/change/cr-spec-tightening.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/response-template-v2.docx,2026-08-26T11:29:13Z,v1
T04-R09,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:email/ra/agency-clock-reminder.eml|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R10,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/prior-response-2019.pdf|filesystem:reg/ir/response-template-v2.docx,2026-08-26T11:29:13Z,v1
T04-R11,T04,reviewer_2,True,filesystem:lab/stability/annex-crosswalk.xlsx|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R12,T04,reviewer_2,True,filesystem:lab/stability/annex-crosswalk.xlsx|filesystem:mfg/process/ppq-summary.pdf|filesystem:qms/change/cr-spec-tightening.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx|filesystem:reg/ir/prior-response-2019.pdf,2026-08-26T11:29:13Z,v1
T04-R13,T04,reviewer_2,True,filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:email/ra/agency-clock-reminder.eml|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T04-R14,T04,reviewer_2,False,filesystem:desk/RA/authority-q-tracker.xlsx|filesystem:desk/RA/ir/draft-q13-notes.docx|filesystem:lab/stability/annex-crosswalk.xlsx|filesystem:mfg/process/ppq-summary.pdf|filesystem:reg/cmc/module-2-3-excerpt.docx,2026-08-26T11:29:13Z,v1
T05-R01,T05,reviewer_2,True,filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R02,T05,reviewer_2,True,filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R03,T05,reviewer_2,True,filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/batch/alm-review-checklist.docx|filesystem:qa/di/orphaned-result-list.xlsx|filesystem:qa/records/hybrid-retention-matrix.xlsx,2026-08-26T11:29:13Z,v1
T05-R05,T05,reviewer_2,True,filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/batch/alm-review-checklist.docx|filesystem:qa/records/hybrid-retention-matrix.xlsx|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R06,T05,reviewer_2,True,filesystem:email/qa/scan-backlog-status.eml|filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/batch/alm-review-checklist.docx|filesystem:qa/records/batch-packet-index.pdf|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R07,T05,reviewer_2,True,filesystem:email/qa/scan-backlog-status.eml|filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/records/hybrid-retention-matrix.xlsx|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R08,T05,reviewer_2,True,filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/batch/alm-review-checklist.docx|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R09,T05,reviewer_2,True,filesystem:it/systems/lims-audit-trail-export.csv|filesystem:qa/batch/alm-review-checklist.docx|filesystem:qa/di/orphaned-result-list.xlsx|filesystem:qa/records/hybrid-retention-matrix.xlsx|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T05-R11,T05,reviewer_2,True,filesystem:email/qa/scan-backlog-status.eml|filesystem:qa/di/orphaned-result-list.xlsx|filesystem:qa/records/batch-packet-index.pdf|filesystem:qms/audit/data-integrity-walkthrough.docx,2026-08-26T11:29:13Z,v1
T06-R01,T06,reviewer_2,True,filesystem:mfg/materials/spec-comparison.xlsx|filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx|filesystem:sqm/change/supplier-notification-047.pdf,2026-08-26T11:29:13Z,v1
T06-R02,T06,reviewer_2,True,filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx,2026-08-26T11:29:13Z,v1
T06-R03,T06,reviewer_2,True,filesystem:mfg/incoming/hold-release-log.xlsx|filesystem:mfg/materials/spec-comparison.xlsx|filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx|filesystem:sqm/audit/last-onsite-report.pdf|filesystem:sqm/change/supplier-notification-047.pdf,2026-08-26T11:29:13Z,v1
T06-R04,T06,reviewer_2,True,filesystem:qa/incoming/skip-lot-justification.docx|filesystem:sqm/audit/remote-assessment-2025.pdf|filesystem:sqm/change/supplier-notification-047.pdf,2026-08-26T11:29:13Z,v1
T06-R05,T06,reviewer_2,True,filesystem:email/sqm/change-control-thread.eml|filesystem:mfg/incoming/hold-release-log.xlsx|filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx,2026-08-26T11:29:13Z,v1
T06-R06,T06,reviewer_2,True,filesystem:email/sqm/change-control-thread.eml|filesystem:mfg/incoming/hold-release-log.xlsx|filesystem:mfg/materials/spec-comparison.xlsx|filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx,2026-08-26T11:29:13Z,v1
T06-R07,T06,reviewer_2,True,filesystem:email/sqm/change-control-thread.eml|filesystem:mfg/materials/spec-comparison.xlsx|filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx,2026-08-26T11:29:13Z,v1
T06-R08,T06,reviewer_2,True,filesystem:qa/incoming/skip-lot-justification.docx|filesystem:qms/change/cr-supplier-441.docx|filesystem:sqm/change/supplier-441-impact.docx|filesystem:sqm/change/supplier-notification-047.pdf,2026-08-26T11:29:13Z,v1
