audit_id,run_id,task_id,agent_id,condition,criterion_id,grader_pass,expert_verdict,grader_frozen_before_expert
GA-0104,run-133,T06,grok,task_first,T06-R08,True,pass,True
GA-0105,run-148,T08,opus5,task_first,T08-R01,True,pass,True
GA-0106,run-052,T03,opus5,task_first,T03-R04,True,pass,True
GA-0107,run-143,T06,sol,world_first,T06-R02,False,fail,True
GA-0108,run-059,T03,grok,task_first,T03-R03,True,pass,True
GA-0109,run-153,T08,grok,world_first,T08-R02,True,pass,True
GA-0110,run-056,T03,opus5,task_first,T03-R07,True,pass,True
GA-0111,run-054,T03,opus5,world_first,T03-R04,True,pass,True
GA-0112,run-090,T04,sol,task_first,T04-R03,True,pass,True
GA-0113,run-137,T06,sol,task_first,T06-R06,True,pass,True
GA-0114,run-027,T02,opus5,world_first,T02-R01,True,pass,True
GA-0115,run-121,T06,opus5,world_first,T06-R03,True,pass,True
GA-0116,run-031,T02,opus5,task_first,T02-R08,True,pass,True
GA-0117,run-174,T07,opus5,world_first,T07-R04,True,pass,True
GA-0118,run-090,T04,sol,task_first,T04-R08,True,pass,True
GA-0119,run-026,T02,opus5,world_first,T02-R10,True,pass,True
GA-0120,run-018,T01,sol,world_first,T01-R06,False,fail,True
GA-0121,run-014,T01,grok,task_first,T01-R02,True,pass,True
GA-0122,run-115,T05,sol,world_first,T05-R06,False,fail,True
GA-0123,run-096,T04,sol,task_first,T04-R07,False,fail,True
GA-0124,run-095,T04,sol,world_first,T04-R02,False,fail,True
GA-0125,run-113,T05,sol,world_first,T05-R05,True,pass,True
GA-0126,run-089,T04,sol,world_first,T04-R13,False,fail,True
GA-0127,run-141,T06,sol,task_first,T06-R02,False,fail,True
GA-0128,run-147,T08,opus5,task_first,T08-R01,True,pass,True
GA-0129,run-027,T02,opus5,world_first,T02-R07,True,pass,True
GA-0130,run-049,T03,opus5,task_first,T03-R09,True,pass,True
GA-0131,run-128,T06,opus5,task_first,T06-R02,True,pass,True
GA-0132,run-165,T08,sol,world_first,T08-R01,True,pass,True
GA-0133,run-191,T07,sol,world_first,T07-R02,False,fail,True
GA-0134,run-022,T01,sol,task_first,T01-R05,False,fail,True
GA-0135,run-044,T02,sol,task_first,T02-R10,True,pass,True
GA-0136,run-005,T01,opus5,world_first,T01-R05,True,fail,True
GA-0137,run-004,T01,opus5,task_first,T01-R10,False,fail,True
GA-0138,run-156,T08,grok,world_first,T08-R01,True,pass,True
GA-0139,run-103,T05,opus5,world_first,T05-R08,True,pass,True
GA-0140,run-098,T05,opus5,task_first,T05-R07,True,pass,True
GA-0141,run-003,T01,opus5,world_first,T01-R07,True,pass,True
GA-0142,run-135,T06,grok,world_first,T06-R06,True,pass,True
GA-0143,run-003,T01,opus5,world_first,T01-R08,False,pass,True
GA-0144,run-045,T02,sol,world_first,T02-R01,False,fail,True
GA-0145,run-164,T08,sol,world_first,T08-R01,True,pass,True
GA-0146,run-083,T04,grok,world_first,T04-R06,False,fail,True
GA-0147,run-066,T03,sol,world_first,T03-R03,False,fail,True
GA-0148,run-163,T08,sol,world_first,T08-R03,False,fail,True
GA-0149,run-191,T07,sol,world_first,T07-R05,True,pass,True
GA-0150,run-088,T04,grok,task_first,T04-R10,True,pass,True
GA-0151,run-108,T05,grok,world_first,T05-R05,True,pass,True
GA-0152,run-030,T02,opus5,task_first,T02-R06,True,fail,True
GA-0153,run-133,T06,grok,task_first,T06-R02,True,pass,True
GA-0154,run-127,T06,opus5,world_first,T06-R03,True,pass,True
GA-0155,run-067,T03,sol,task_first,T03-R05,False,fail,True
GA-0156,run-185,T07,sol,task_first,T07-R03,True,pass,True
GA-0157,run-145,T08,opus5,world_first,T08-R02,True,pass,True
GA-0158,run-079,T04,opus5,task_first,T04-R08,True,pass,True
GA-0159,run-186,T07,sol,task_first,T07-R02,False,fail,True
GA-0160,run-017,T01,sol,task_first,T01-R01,False,fail,True
GA-0161,run-067,T03,sol,task_first,T03-R02,False,fail,True
GA-0162,run-112,T05,grok,task_first,T05-R06,True,pass,True
GA-0163,run-016,T01,grok,task_first,T01-R10,False,fail,True
GA-0164,run-087,T04,grok,task_first,T04-R01,True,fail,True
GA-0165,run-104,T05,opus5,task_first,T05-R11,True,pass,True
GA-0166,run-177,T07,grok,task_first,T07-R03,False,fail,True
GA-0167,run-181,T07,grok,world_first,T07-R03,False,fail,True
GA-0168,run-106,T05,grok,world_first,T05-R06,True,pass,True
GA-0169,run-138,T06,sol,world_first,T06-R04,True,pass,True
GA-0170,run-117,T05,sol,world_first,T05-R05,True,pass,True
GA-0171,run-051,T03,opus5,world_first,T03-R09,True,pass,True
GA-0172,run-066,T03,sol,world_first,T03-R08,True,pass,True
GA-0173,run-037,T02,grok,world_first,T02-R11,True,fail,True
GA-0174,run-111,T05,grok,world_first,T05-R08,False,fail,True
GA-0175,run-024,T01,sol,task_first,T01-R06,True,pass,True
GA-0176,run-135,T06,grok,world_first,T06-R04,False,fail,True
GA-0177,run-047,T02,sol,task_first,T02-R11,True,pass,True
GA-0178,run-014,T01,grok,task_first,T01-R08,True,pass,True
GA-0179,run-008,T01,opus5,task_first,T01-R05,False,fail,True
GA-0180,run-065,T03,sol,world_first,T03-R04,True,pass,True
GA-0181,run-038,T02,grok,task_first,T02-R07,True,pass,True
GA-0182,run-116,T05,sol,task_first,T05-R09,True,pass,True
GA-0183,run-017,T01,sol,task_first,T01-R03,False,fail,True
GA-0184,run-053,T03,opus5,world_first,T03-R03,True,pass,True
GA-0185,run-146,T08,opus5,world_first,T08-R01,True,pass,True
GA-0186,run-056,T03,opus5,task_first,T03-R09,True,pass,True
GA-0187,run-101,T05,opus5,world_first,T05-R07,True,pass,True
GA-0188,run-075,T04,opus5,world_first,T04-R14,True,pass,True
GA-0189,run-179,T07,grok,task_first,T07-R02,True,pass,True
GA-0190,run-109,T05,grok,world_first,T05-R02,True,pass,True
GA-0191,run-144,T06,sol,world_first,T06-R03,False,fail,True
GA-0192,run-035,T02,grok,task_first,T02-R07,True,fail,True
GA-0193,run-048,T02,sol,task_first,T02-R06,True,pass,True
GA-0194,run-054,T03,opus5,world_first,T03-R03,True,fail,True
GA-0195,run-190,T07,sol,task_first,T07-R03,True,pass,True
GA-0196,run-079,T04,opus5,task_first,T04-R05,True,pass,True
GA-0197,run-178,T07,grok,world_first,T07-R04,True,pass,True
GA-0198,run-002,T01,opus5,task_first,T01-R05,False,pass,True
GA-0199,run-148,T08,opus5,task_first,T08-R03,True,pass,True
GA-0200,run-172,T07,opus5,world_first,T07-R05,True,pass,True
GA-0201,run-037,T02,grok,world_first,T02-R07,False,fail,True
GA-0202,run-087,T04,grok,task_first,T04-R05,False,fail,True
GA-0203,run-034,T02,grok,task_first,T02-R04,True,pass,True
GA-0204,run-172,T07,opus5,world_first,T07-R03,True,pass,True
GA-0205,run-001,T01,opus5,world_first,T01-R04,True,pass,True
GA-0206,run-040,T02,grok,task_first,T02-R11,True,pass,True
GA-0207,run-009,T01,grok,world_first,T01-R11,True,pass,True
GA-0208,run-171,T07,opus5,task_first,T07-R03,True,pass,True
GA-0209,run-078,T04,opus5,task_first,T04-R06,True,pass,True
GA-0210,run-122,T06,opus5,world_first,T06-R04,True,pass,True
GA-0211,run-063,T03,grok,world_first,T03-R03,True,pass,True
GA-0212,run-124,T06,opus5,task_first,T06-R06,True,pass,True
GA-0213,run-069,T03,sol,task_first,T03-R01,True,pass,True
GA-0214,run-175,T07,opus5,world_first,T07-R03,True,fail,True
GA-0215,run-014,T01,grok,task_first,T01-R06,True,pass,True
GA-0216,run-165,T08,sol,world_first,T08-R02,False,fail,True
GA-0217,run-038,T02,grok,task_first,T02-R03,False,fail,True
GA-0218,run-171,T07,opus5,task_first,T07-R05,True,pass,True
GA-0219,run-006,T01,opus5,task_first,T01-R11,True,pass,True
GA-0220,run-031,T02,opus5,task_first,T02-R07,True,pass,True
GA-0221,run-145,T08,opus5,world_first,T08-R01,True,pass,True
GA-0222,run-119,T05,sol,task_first,T05-R07,True,pass,True
GA-0223,run-074,T04,opus5,world_first,T04-R08,False,fail,True
GA-0224,run-119,T05,sol,task_first,T05-R01,True,pass,True
GA-0225,run-136,T06,grok,world_first,T06-R02,False,fail,True
GA-0226,run-137,T06,sol,task_first,T06-R01,True,pass,True
GA-0227,run-166,T08,sol,task_first,T08-R01,False,fail,True
GA-0228,run-130,T06,grok,task_first,T06-R02,True,pass,True
GA-0229,run-182,T07,grok,world_first,T07-R02,True,pass,True
GA-0230,run-004,T01,opus5,task_first,T01-R05,True,pass,True
GA-0231,run-161,T08,sol,task_first,T08-R02,True,pass,True
GA-0232,run-137,T06,sol,task_first,T06-R02,True,pass,True
GA-0233,run-184,T07,grok,task_first,T07-R02,False,fail,True
GA-0234,run-072,T03,sol,task_first,T03-R01,False,fail,True
GA-0235,run-128,T06,opus5,task_first,T06-R03,True,pass,True
GA-0236,run-189,T07,sol,world_first,T07-R05,True,fail,True
GA-0237,run-043,T02,sol,world_first,T02-R10,False,fail,True
GA-0238,run-125,T06,opus5,task_first,T06-R03,True,pass,True
GA-0239,run-083,T04,grok,world_first,T04-R09,False,fail,True
GA-0240,run-009,T01,grok,world_first,T01-R02,True,pass,True
