attempt_id,scheduled_run_id,attempt_number,started_at,completed_at,status,timed_out,crashed,retried,retry_reason
ATT-0020,run-020,1,2026-09-03T13:06:46Z,2026-09-03T13:26:19Z,completed,False,False,False,
ATT-0021,run-021,1,2026-09-03T13:49:32Z,2026-09-03T14:07:07Z,completed,False,False,False,
ATT-0022,run-022,1,2026-09-03T13:57:10Z,2026-09-03T14:13:45Z,completed,False,False,False,
ATT-0023,run-023,1,2026-09-03T14:05:57Z,2026-09-03T14:29:12Z,completed,False,False,False,
ATT-0024,run-024,1,2026-09-03T14:15:59Z,2026-09-03T14:37:36Z,completed,False,False,False,
ATT-0025,run-025,1,2026-09-03T14:21:27Z,2026-09-03T14:33:19Z,completed,False,False,False,
ATT-0026,run-026,1,2026-09-03T14:27:42Z,2026-09-03T14:38:43Z,completed,False,False,False,
ATT-0027,run-027,1,2026-09-03T14:36:10Z,2026-09-03T14:47:06Z,completed,False,False,False,
ATT-0028,run-028,1,2026-09-03T14:55:43Z,2026-09-03T15:05:36Z,completed,False,False,False,
ATT-0029,run-029,1,2026-09-03T15:07:48Z,2026-09-03T15:15:18Z,completed,False,False,False,
ATT-0030,run-030,1,2026-09-03T15:36:52Z,2026-09-03T15:45:38Z,completed,False,False,False,
ATT-0031,run-031,1,2026-09-03T15:46:45Z,2026-09-03T15:56:28Z,completed,False,False,False,
ATT-0032,run-032,1,2026-09-03T15:54:21Z,2026-09-03T16:10:40Z,failed,True,False,True,tool_loop_timeout
ATT-0033,run-033,1,2026-09-03T16:03:23Z,2026-09-03T16:19:13Z,completed,False,False,False,
ATT-0034,run-034,1,2026-09-03T16:07:46Z,2026-09-03T16:25:16Z,failed,False,True,True,runner_crash
ATT-0035,run-035,1,2026-09-03T16:13:46Z,2026-09-03T16:32:21Z,completed,False,False,False,
ATT-0036,run-032,2,2026-09-03T16:17:21Z,2026-09-03T16:21:45Z,failed,False,False,True,provider_error
ATT-0037,run-032,3,2026-09-03T16:24:17Z,2026-09-03T16:56:15Z,completed,False,False,False,
ATT-0038,run-034,2,2026-09-03T16:32:12Z,2026-09-03T16:44:48Z,completed,False,False,False,
ATT-0039,run-036,1,2026-09-03T16:39:17Z,2026-09-03T16:59:47Z,completed,False,False,False,
ATT-0040,run-037,1,2026-09-03T16:59:06Z,2026-09-03T17:18:39Z,completed,False,False,False,
ATT-0041,run-038,1,2026-09-03T17:06:33Z,2026-09-03T17:21:14Z,completed,False,False,False,
ATT-0042,run-039,1,2026-09-03T17:19:42Z,2026-09-03T17:41:38Z,completed,False,False,False,
ATT-0043,run-040,1,2026-09-03T17:26:07Z,2026-09-03T17:44:54Z,completed,False,False,False,
ATT-0044,run-041,1,2026-09-03T17:44:49Z,2026-09-03T17:55:52Z,completed,False,False,False,
ATT-0045,run-042,1,2026-09-03T17:51:56Z,2026-09-03T18:16:43Z,completed,False,False,False,
ATT-0046,run-043,1,2026-09-03T18:03:57Z,2026-09-03T18:19:32Z,completed,False,False,False,
ATT-0047,run-044,1,2026-09-03T18:13:04Z,2026-09-03T18:31:59Z,completed,False,False,False,
ATT-0048,run-045,1,2026-09-03T18:16:53Z,2026-09-03T18:34:55Z,completed,False,False,False,
ATT-0049,run-046,1,2026-09-03T18:25:14Z,2026-09-03T18:46:37Z,completed,False,False,False,
ATT-0050,run-047,1,2026-09-03T18:29:33Z,2026-09-03T18:38:57Z,completed,False,False,False,
ATT-0051,run-048,1,2026-09-03T18:35:02Z,2026-09-03T18:48:27Z,completed,False,False,False,
ATT-0052,run-049,1,2026-09-03T18:44:19Z,2026-09-03T18:52:51Z,completed,False,False,False,
ATT-0053,run-050,1,2026-09-03T18:52:35Z,2026-09-03T19:02:36Z,completed,False,False,False,
ATT-0054,run-051,1,2026-09-03T19:00:25Z,2026-09-03T19:16:46Z,completed,False,False,False,
ATT-0055,run-052,1,2026-09-03T19:05:14Z,2026-09-03T19:26:32Z,completed,False,False,False,
ATT-0056,run-053,1,2026-09-03T19:14:34Z,2026-09-03T19:24:00Z,completed,False,False,False,
ATT-0057,run-054,1,2026-09-03T19:25:53Z,2026-09-03T19:45:52Z,completed,False,False,False,
ATT-0058,run-055,1,2026-09-03T19:34:12Z,2026-09-03T19:43:02Z,completed,False,False,False,
ATT-0059,run-056,1,2026-09-03T19:37:20Z,2026-09-03T19:47:04Z,completed,False,False,False,
ATT-0060,run-057,1,2026-09-03T19:50:18Z,2026-09-03T20:00:04Z,completed,False,False,False,
ATT-0061,run-058,1,2026-09-04T08:28:31Z,2026-09-04T08:52:05Z,completed,False,False,False,
ATT-0062,run-059,1,2026-09-04T08:34:12Z,2026-09-04T08:49:32Z,completed,False,False,False,
ATT-0063,run-060,1,2026-09-04T08:45:27Z,2026-09-04T08:49:26Z,failed,False,False,True,provider_error
ATT-0064,run-060,2,2026-09-04T08:56:45Z,2026-09-04T09:24:02Z,completed,False,False,False,
ATT-0065,run-061,1,2026-09-04T08:59:40Z,2026-09-04T09:13:27Z,completed,False,False,False,
ATT-0066,run-062,1,2026-09-04T09:05:23Z,2026-09-04T09:27:48Z,completed,False,False,False,
ATT-0067,run-063,1,2026-09-04T09:11:33Z,2026-09-04T09:24:06Z,completed,False,False,False,
ATT-0068,run-064,1,2026-09-04T09:25:07Z,2026-09-04T09:36:41Z,completed,False,False,False,
ATT-0069,run-065,1,2026-09-04T09:35:23Z,2026-09-04T09:52:38Z,completed,False,False,False,
ATT-0070,run-066,1,2026-09-04T09:45:31Z,2026-09-04T10:21:29Z,completed,False,False,False,
ATT-0071,run-067,1,2026-09-04T09:55:40Z,2026-09-04T10:09:11Z,completed,False,False,False,
ATT-0072,run-068,1,2026-09-04T10:09:15Z,2026-09-04T10:37:50Z,completed,False,False,False,
ATT-0073,run-069,1,2026-09-04T10:23:08Z,2026-09-04T10:37:43Z,completed,False,False,False,
ATT-0074,run-070,1,2026-09-04T10:29:05Z,2026-09-04T10:41:06Z,completed,False,False,False,
ATT-0075,run-071,1,2026-09-04T10:35:22Z,2026-09-04T10:53:40Z,completed,False,False,False,
ATT-0076,run-072,1,2026-09-04T10:44:26Z,2026-09-04T10:59:22Z,completed,False,False,False,
ATT-0077,run-073,1,2026-09-04T10:58:01Z,2026-09-04T11:07:04Z,completed,False,False,False,
ATT-0078,run-074,1,2026-09-04T11:08:45Z,2026-09-04T11:18:34Z,completed,False,False,False,
ATT-0079,run-075,1,2026-09-04T11:20:14Z,2026-09-04T11:34:33Z,completed,False,False,False,
ATT-0080,run-076,1,2026-09-04T11:27:45Z,2026-09-04T11:35:05Z,completed,False,False,False,
ATT-0081,run-077,1,2026-09-04T11:43:40Z,2026-09-04T11:56:07Z,completed,False,False,False,
ATT-0082,run-078,1,2026-09-04T11:52:28Z,2026-09-04T12:02:36Z,completed,False,False,False,
ATT-0083,run-079,1,2026-09-04T11:54:51Z,2026-09-04T12:04:07Z,completed,False,False,False,
ATT-0084,run-080,1,2026-09-04T12:05:05Z,2026-09-04T12:34:14Z,completed,False,False,False,
ATT-0085,run-081,1,2026-09-04T12:12:43Z,2026-09-04T12:38:05Z,completed,False,False,False,
ATT-0086,run-082,1,2026-09-04T12:25:03Z,2026-09-04T12:32:03Z,failed,False,True,True,sandbox_oom
ATT-0087,run-083,1,2026-09-04T12:28:55Z,2026-09-04T13:01:08Z,completed,False,False,False,
ATT-0088,run-082,2,2026-09-04T12:39:30Z,2026-09-04T12:55:21Z,completed,False,False,False,
ATT-0089,run-084,1,2026-09-04T12:50:08Z,2026-09-04T13:07:24Z,failed,False,True,True,runner_crash
ATT-0090,run-085,1,2026-09-04T12:54:51Z,2026-09-04T13:23:37Z,completed,False,False,False,
ATT-0091,run-086,1,2026-09-04T13:01:33Z,2026-09-04T13:13:58Z,completed,False,False,False,
ATT-0092,run-084,2,2026-09-04T13:13:13Z,2026-09-04T13:23:59Z,completed,False,False,False,
ATT-0093,run-087,1,2026-09-04T13:15:23Z,2026-09-04T13:30:53Z,completed,False,False,False,
ATT-0094,run-088,1,2026-09-04T13:20:00Z,2026-09-04T14:20:00Z,failed,True,False,True,wall_clock_timeout
ATT-0095,run-089,1,2026-09-04T13:25:10Z,2026-09-04T13:44:43Z,completed,False,False,False,
ATT-0096,run-090,1,2026-09-04T13:34:57Z,2026-09-04T13:39:47Z,failed,False,True,True,sandbox_oom
ATT-0097,run-091,1,2026-09-04T13:40:00Z,2026-09-04T13:55:34Z,completed,False,False,False,
ATT-0098,run-090,2,2026-09-04T13:46:02Z,2026-09-04T14:04:45Z,completed,False,False,False,
ATT-0099,run-092,1,2026-09-04T13:50:25Z,2026-09-04T14:13:50Z,completed,False,False,False,
ATT-0100,run-093,1,2026-09-04T13:54:34Z,2026-09-04T14:10:57Z,completed,False,False,False,
ATT-0101,run-094,1,2026-09-04T14:01:19Z,2026-09-04T14:22:06Z,completed,False,False,False,
ATT-0102,run-095,1,2026-09-04T14:04:14Z,2026-09-04T14:24:22Z,completed,False,False,False,
ATT-0103,run-096,1,2026-09-04T14:13:42Z,2026-09-04T14:24:24Z,completed,False,False,False,
ATT-0104,run-097,1,2026-09-04T14:20:54Z,2026-09-04T14:30:24Z,completed,False,False,False,
ATT-0105,run-088,2,2026-09-04T14:21:30Z,2026-09-04T14:30:42Z,completed,False,False,False,
ATT-0106,run-098,1,2026-09-04T14:24:32Z,2026-09-04T14:33:11Z,completed,False,False,False,
ATT-0107,run-099,1,2026-09-04T14:34:08Z,2026-09-04T14:53:19Z,completed,False,False,False,
ATT-0108,run-100,1,2026-09-04T14:46:29Z,2026-09-04T14:56:37Z,completed,False,False,False,
ATT-0109,run-101,1,2026-09-04T14:54:33Z,2026-09-04T15:07:55Z,completed,False,False,False,
ATT-0110,run-102,1,2026-09-04T15:05:16Z,2026-09-04T15:12:00Z,completed,False,False,False,
ATT-0111,run-103,1,2026-09-04T15:11:05Z,2026-09-04T15:17:43Z,completed,False,False,False,
ATT-0112,run-104,1,2026-09-04T15:23:37Z,2026-09-04T15:30:13Z,completed,False,False,False,
ATT-0113,run-105,1,2026-09-04T15:29:06Z,2026-09-04T15:35:23Z,completed,False,False,False,
ATT-0114,run-106,1,2026-09-04T15:33:35Z,2026-09-04T15:46:12Z,completed,False,False,False,
ATT-0115,run-107,1,2026-09-04T15:42:37Z,2026-09-04T15:49:32Z,completed,False,False,False,
ATT-0116,run-108,1,2026-09-04T15:52:36Z,2026-09-04T16:04:51Z,completed,False,False,False,
ATT-0117,run-109,1,2026-09-04T16:01:17Z,2026-09-04T16:14:58Z,completed,False,False,False,
ATT-0118,run-110,1,2026-09-04T16:13:05Z,2026-09-04T16:19:19Z,completed,False,False,False,
ATT-0119,run-111,1,2026-09-04T16:22:24Z,2026-09-04T16:33:55Z,failed,False,True,True,runner_crash
ATT-0120,run-112,1,2026-09-04T16:30:19Z,2026-09-04T16:35:57Z,completed,False,False,False,
ATT-0121,run-111,2,2026-09-04T16:37:33Z,2026-09-04T16:49:15Z,completed,False,False,False,
ATT-0122,run-113,1,2026-09-04T16:41:13Z,2026-09-04T17:04:35Z,completed,False,False,False,
ATT-0123,run-114,1,2026-09-04T16:46:11Z,2026-09-04T16:58:13Z,completed,False,False,False,
ATT-0124,run-115,1,2026-09-04T16:58:18Z,2026-09-04T17:14:50Z,completed,False,False,False,
ATT-0125,run-116,1,2026-09-04T17:14:40Z,2026-09-04T17:27:41Z,completed,False,False,False,
ATT-0126,run-117,1,2026-09-04T17:20:02Z,2026-09-04T17:41:19Z,completed,False,False,False,
ATT-0127,run-118,1,2026-09-04T17:24:42Z,2026-09-04T17:44:05Z,completed,False,False,False,
ATT-0128,run-119,1,2026-09-04T17:31:06Z,2026-09-04T17:41:42Z,completed,False,False,False,
ATT-0129,run-120,1,2026-09-04T17:39:02Z,2026-09-04T17:56:30Z,completed,False,False,False,
ATT-0130,run-121,1,2026-09-04T17:48:00Z,2026-09-04T17:58:42Z,completed,False,False,False,
ATT-0131,run-122,1,2026-09-04T17:53:17Z,2026-09-04T18:07:57Z,completed,False,False,False,
ATT-0132,run-123,1,2026-09-04T18:03:49Z,2026-09-04T18:14:12Z,completed,False,False,False,
ATT-0133,run-124,1,2026-09-04T18:19:02Z,2026-09-04T18:43:52Z,completed,False,False,False,
ATT-0134,run-125,1,2026-09-04T18:48:03Z,2026-09-04T19:14:19Z,completed,False,False,False,
ATT-0135,run-126,1,2026-09-04T18:59:48Z,2026-09-04T19:59:48Z,failed,True,False,True,wall_clock_timeout
ATT-0136,run-127,1,2026-09-04T19:15:40Z,2026-09-04T19:27:53Z,completed,False,False,False,
ATT-0137,run-128,1,2026-09-04T19:27:05Z,2026-09-04T19:36:59Z,completed,False,False,False,
ATT-0138,run-129,1,2026-09-04T19:45:42Z,2026-09-04T20:05:53Z,completed,False,False,False,
ATT-0139,run-126,2,2026-09-04T20:05:30Z,2026-09-04T20:26:11Z,completed,False,False,False,
ATT-0140,run-130,1,2026-09-07T08:52:47Z,2026-09-07T09:10:55Z,completed,False,False,False,
ATT-0141,run-131,1,2026-09-07T08:59:11Z,2026-09-07T09:14:31Z,completed,False,False,False,
ATT-0142,run-132,1,2026-09-07T09:15:15Z,2026-09-07T09:38:08Z,completed,False,False,False,
ATT-0143,run-133,1,2026-09-07T09:21:24Z,2026-09-07T09:31:28Z,completed,False,False,False,
ATT-0144,run-134,1,2026-09-07T09:33:59Z,2026-09-07T09:51:09Z,completed,False,False,False,
ATT-0145,run-135,1,2026-09-07T09:43:48Z,2026-09-07T10:12:08Z,completed,False,False,False,
ATT-0146,run-136,1,2026-09-07T09:52:49Z,2026-09-07T10:05:59Z,completed,False,False,False,
ATT-0147,run-137,1,2026-09-07T09:59:58Z,2026-09-07T10:11:53Z,completed,False,False,False,
ATT-0148,run-138,1,2026-09-07T10:28:17Z,2026-09-07T10:38:46Z,completed,False,False,False,
ATT-0149,run-139,1,2026-09-07T10:34:04Z,2026-09-07T10:54:41Z,completed,False,False,False,
ATT-0150,run-140,1,2026-09-07T10:43:15Z,2026-09-07T11:02:05Z,completed,False,False,False,
ATT-0151,run-141,1,2026-09-07T10:48:50Z,2026-09-07T11:18:10Z,completed,False,False,False,
ATT-0152,run-142,1,2026-09-07T11:12:22Z,2026-09-07T11:28:01Z,completed,False,False,False,
ATT-0153,run-143,1,2026-09-07T11:19:07Z,2026-09-07T11:59:29Z,completed,False,False,False,
ATT-0154,run-144,1,2026-09-07T11:41:20Z,2026-09-07T11:53:21Z,completed,False,False,False,
ATT-0155,run-145,1,2026-09-07T11:50:38Z,2026-09-07T12:04:20Z,completed,False,False,False,
ATT-0156,run-146,1,2026-09-07T11:59:01Z,2026-09-07T12:11:53Z,completed,False,False,False,
ATT-0157,run-147,1,2026-09-07T12:22:16Z,2026-09-07T12:31:18Z,completed,False,False,False,
ATT-0158,run-148,1,2026-09-07T12:31:42Z,2026-09-07T12:37:30Z,completed,False,False,False,
ATT-0159,run-149,1,2026-09-07T12:36:31Z,2026-09-07T12:42:31Z,completed,False,False,False,
ATT-0160,run-150,1,2026-09-07T12:47:37Z,2026-09-07T12:55:44Z,completed,False,False,False,
ATT-0161,run-151,1,2026-09-07T12:58:41Z,2026-09-07T13:16:05Z,completed,False,False,False,
ATT-0162,run-152,1,2026-09-07T13:03:43Z,2026-09-07T13:17:26Z,completed,False,False,False,
ATT-0163,run-153,1,2026-09-07T13:08:23Z,2026-09-07T13:23:38Z,completed,False,False,False,
ATT-0164,run-154,1,2026-09-07T13:16:00Z,2026-09-07T13:23:16Z,completed,False,False,False,
ATT-0165,run-155,1,2026-09-07T13:23:07Z,2026-09-07T13:31:29Z,completed,False,False,False,
ATT-0166,run-156,1,2026-09-07T13:28:05Z,2026-09-07T13:44:20Z,completed,False,False,False,
ATT-0167,run-157,1,2026-09-07T13:30:18Z,2026-09-07T13:53:28Z,completed,False,False,False,
ATT-0168,run-158,1,2026-09-07T13:33:54Z,2026-09-07T13:47:55Z,completed,False,False,False,
ATT-0169,run-159,1,2026-09-07T13:38:58Z,2026-09-07T13:44:58Z,completed,False,False,False,
ATT-0170,run-160,1,2026-09-07T13:49:08Z,2026-09-07T14:05:13Z,completed,False,False,False,
ATT-0171,run-161,1,2026-09-07T14:04:17Z,2026-09-07T14:14:28Z,completed,False,False,False,
ATT-0172,run-162,1,2026-09-07T14:14:36Z,2026-09-07T14:25:50Z,completed,False,False,False,
ATT-0173,run-163,1,2026-09-07T14:21:16Z,2026-09-07T14:45:02Z,completed,False,False,False,
ATT-0174,run-164,1,2026-09-07T14:25:12Z,2026-09-07T14:48:28Z,completed,False,False,False,
ATT-0175,run-165,1,2026-09-07T14:34:58Z,2026-09-07T14:56:41Z,completed,False,False,False,
ATT-0176,run-166,1,2026-09-07T14:58:11Z,2026-09-07T15:16:30Z,completed,False,False,False,
ATT-0177,run-167,1,2026-09-07T15:03:44Z,2026-09-07T15:24:51Z,completed,False,False,False,
ATT-0178,run-168,1,2026-09-07T15:10:56Z,2026-09-07T15:17:36Z,completed,False,False,False,
ATT-0179,run-169,1,2026-09-07T15:14:46Z,2026-09-07T15:22:40Z,completed,False,False,False,
ATT-0180,run-170,1,2026-09-07T15:23:31Z,2026-09-07T15:38:34Z,completed,False,False,False,
ATT-0181,run-171,1,2026-09-07T15:26:56Z,2026-09-07T15:33:56Z,completed,False,False,False,
ATT-0182,run-172,1,2026-09-07T15:31:27Z,2026-09-07T15:43:32Z,completed,False,False,False,
ATT-0183,run-173,1,2026-09-07T15:41:06Z,2026-09-07T15:46:40Z,completed,False,False,False,
ATT-0184,run-174,1,2026-09-07T15:44:13Z,2026-09-07T16:04:01Z,failed,False,True,True,runner_crash
ATT-0185,run-175,1,2026-09-07T15:47:01Z,2026-09-07T15:57:09Z,failed,False,True,True,sandbox_oom
ATT-0186,run-176,1,2026-09-07T15:51:30Z,2026-09-07T16:03:04Z,completed,False,False,False,
ATT-0187,run-175,2,2026-09-07T16:01:51Z,2026-09-07T16:13:35Z,completed,False,False,False,
ATT-0188,run-177,1,2026-09-07T16:03:41Z,2026-09-07T16:11:06Z,completed,False,False,False,
ATT-0189,run-178,1,2026-09-07T16:11:14Z,2026-09-07T16:14:30Z,failed,False,True,True,runner_crash
ATT-0190,run-174,2,2026-09-07T16:11:47Z,2026-09-07T16:28:35Z,completed,False,False,False,
ATT-0191,run-179,1,2026-09-07T16:20:10Z,2026-09-07T16:29:39Z,completed,False,False,False,
ATT-0192,run-178,2,2026-09-07T16:22:23Z,2026-09-07T16:33:43Z,completed,False,False,False,
ATT-0193,run-180,1,2026-09-07T16:32:34Z,2026-09-07T16:47:45Z,completed,False,False,False,
ATT-0194,run-181,1,2026-09-07T16:42:48Z,2026-09-07T17:00:07Z,completed,False,False,False,
ATT-0195,run-182,1,2026-09-07T16:55:09Z,2026-09-07T17:11:09Z,completed,False,False,False,
ATT-0196,run-183,1,2026-09-07T17:00:30Z,2026-09-07T17:09:02Z,completed,False,False,False,
ATT-0197,run-184,1,2026-09-07T17:10:26Z,2026-09-07T17:21:47Z,completed,False,False,False,
ATT-0198,run-185,1,2026-09-07T17:19:46Z,2026-09-07T17:28:35Z,completed,False,False,False,
ATT-0199,run-186,1,2026-09-07T17:27:44Z,2026-09-07T17:44:10Z,completed,False,False,False,
ATT-0200,run-187,1,2026-09-07T17:45:37Z,2026-09-07T18:06:57Z,completed,False,False,False,
ATT-0201,run-188,1,2026-09-07T17:54:46Z,2026-09-07T18:22:37Z,completed,False,False,False,
ATT-0202,run-189,1,2026-09-07T18:03:50Z,2026-09-07T18:17:50Z,completed,False,False,False,
ATT-0203,run-190,1,2026-09-07T18:15:14Z,2026-09-07T18:25:32Z,completed,False,False,False,
ATT-0204,run-191,1,2026-09-07T18:19:44Z,2026-09-07T18:32:06Z,completed,False,False,False,
ATT-0205,run-192,1,2026-09-07T18:44:40Z,2026-09-07T18:56:47Z,completed,False,False,False,
